ord_id,cust_id,order_date,status_x,currency_x,subtotal,discount_amt,tax_amt,total_amt,coupon_code,first_name,last_name,email,phone,location,signup_date,order_item_id,prod_id,quantity,unit_price,line_total,name,category,brand,price,currency_y,stock_qty,vat_rate,pay_id,method,payment_date,amount_paid,currency,status_y,ship_id,ship_address,ship_date,delivery_date,status,tracking_no,discount_pct,valid_from,valid_to,min_order_value,final_price_per_item,order_total_calc,order_year,order_month,order_day_of_week
ORD1006,CUST1006,2025-09-13 11:10:00,Pending,INR,6000.0,300.0,1101.6,6801.6,WELCOME5,Rohit,Mehta,rohit@example.com,9822233344,"Jaipur, Rajasthan",2025-09-03,OI1009,PROD1007,2,4500.0,9000.0,Gaming Mouse,Accessories,Logitech,4500.0,INR,200,18.0,PAY1006,Wallet,2025-09-13 11:30:00,6801.6,INR,Pending,SHIP1006,"Jaipur, Rajasthan",2025-09-13,2025-09-15,Pending,TRACK45678,5.0,2025-09-01,2025-12-31,2000.0,9000.0,21000.0,2025,9,Saturday
ORD1006,CUST1006,2025-09-13 11:10:00,Pending,INR,6000.0,300.0,1101.6,6801.6,WELCOME5,Rohit,Mehta,rohit@example.com,9822233344,"Jaipur, Rajasthan",2025-09-03,OI1022,PROD1013,1,12000.0,12000.0,Bluetooth Speaker,Accessories,JBL,12000.0,INR,75,18.0,PAY1006,Wallet,2025-09-13 11:30:00,6801.6,INR,Pending,SHIP1006,"Jaipur, Rajasthan",2025-09-13,2025-09-15,Pending,TRACK45678,5.0,2025-09-01,2025-12-31,2000.0,12000.0,21000.0,2025,9,Saturday
ORD1007,CUST1007,2025-09-14 12:00:00,Delivered,INR,15000.0,0.0,2700.0,17700.0,No Coupon,Sneha,Rao,sneha@example.com,9833344455,"Hyderabad, Telangana",2025-09-04,OI1010,PROD1008,1,15000.0,15000.0,Smart Watch,Wearable,Fitbit,15000.0,INR,150,12.0,PAY1007,COD,2025-09-14 12:15:00,17700.0,INR,Paid,SHIP1007,"Hyderabad, Telangana",2025-09-14,2025-09-17,Delivered,TRACK56789,0.0,,,,15000.0,15000.0,2025,9,Sunday
ORD1008,CUST1008,2025-09-14 13:40:00,Shipped,INR,130000.0,32500.0,14160.0,110660.0,BIGSALE25,Vikas,Singh,vikas@example.com,9844455566,"Chennai, Tamil Nadu",2025-09-05,OI1011,PROD1012,1,85000.0,85000.0,Google Pixel 8,Mobile,Google,85000.0,INR,30,18.0,PAY1008,NetBanking,2025-09-14 14:00:00,110660.0,INR,Paid,SHIP1008,"Chennai, Tamil Nadu",2025-09-14,2025-09-18,In Transit,TRACK98765,25.0,2025-09-20,2025-10-05,15000.0,85000.0,247000.0,2025,9,Sunday
ORD1008,CUST1008,2025-09-14 13:40:00,Shipped,INR,130000.0,32500.0,14160.0,110660.0,BIGSALE25,Vikas,Singh,vikas@example.com,9844455566,"Chennai, Tamil Nadu",2025-09-05,OI1012,PROD1013,1,12000.0,12000.0,Bluetooth Speaker,Accessories,JBL,12000.0,INR,75,18.0,PAY1008,NetBanking,2025-09-14 14:00:00,110660.0,INR,Paid,SHIP1008,"Chennai, Tamil Nadu",2025-09-14,2025-09-18,In Transit,TRACK98765,25.0,2025-09-20,2025-10-05,15000.0,12000.0,247000.0,2025,9,Sunday
ORD1008,CUST1008,2025-09-14 13:40:00,Shipped,INR,130000.0,32500.0,14160.0,110660.0,BIGSALE25,Vikas,Singh,vikas@example.com,9844455566,"Chennai, Tamil Nadu",2025-09-05,OI1025,PROD1002,1,150000.0,150000.0,Laptop XPS 13,Laptop,Dell,150000.0,INR,30,12.0,PAY1008,NetBanking,2025-09-14 14:00:00,110660.0,INR,Paid,SHIP1008,"Chennai, Tamil Nadu",2025-09-14,2025-09-18,In Transit,TRACK98765,25.0,2025-09-20,2025-10-05,15000.0,150000.0,247000.0,2025,9,Sunday
ORD1009,CUST1009,2025-09-15 10:20:00,Pending,INR,200000.0,20000.0,32400.0,212400.0,LOYAL10,Neha,Kapoor,neha@example.com,9855566677,"Pune, Maharashtra",2025-09-06,OI1013,PROD1010,1,200000.0,200000.0,MacBook Pro,Laptop,Apple,200000.0,INR,15,12.0,PAY1009,Credit Card,2025-09-15 10:40:00,212400.0,INR,Pending,SHIP1009,"Pune, Maharashtra",2025-09-15,2025-09-19,Pending,TRACK87654,10.0,2025-09-01,2025-12-31,1000.0,200000.0,320000.0,2025,9,Monday
ORD1009,CUST1009,2025-09-15 10:20:00,Pending,INR,200000.0,20000.0,32400.0,212400.0,LOYAL10,Neha,Kapoor,neha@example.com,9855566677,"Pune, Maharashtra",2025-09-06,OI1023,PROD1001,1,120000.0,120000.0,iPhone 15,Mobile,Apple,120000.0,INR,50,18.0,PAY1009,Credit Card,2025-09-15 10:40:00,212400.0,INR,Pending,SHIP1009,"Pune, Maharashtra",2025-09-15,2025-09-19,Pending,TRACK87654,10.0,2025-09-01,2025-12-31,1000.0,120000.0,320000.0,2025,9,Monday
ORD1010,CUST1010,2025-09-15 14:50:00,Pending,INR,120000.0,0.0,21600.0,141600.0,No Coupon,Raj,Malhotra,raj@example.com,9866677788,"Ahmedabad, Gujarat",2025-09-07,OI1014,PROD1002,1,150000.0,150000.0,Laptop XPS 13,Laptop,Dell,150000.0,INR,30,12.0,PAY1010,UPI,2025-09-15 15:10:00,141600.0,INR,Pending,SHIP1010,"Ahmedabad, Gujarat",2025-09-15,2025-09-20,Pending,TRACK76543,0.0,,,,150000.0,270000.0,2025,9,Monday
ORD1010,CUST1010,2025-09-15 14:50:00,Pending,INR,120000.0,0.0,21600.0,141600.0,No Coupon,Raj,Malhotra,raj@example.com,9866677788,"Ahmedabad, Gujarat",2025-09-07,OI1024,PROD1011,1,120000.0,120000.0,Surface Pro,Tablet,Microsoft,120000.0,INR,20,12.0,PAY1010,UPI,2025-09-15 15:10:00,141600.0,INR,Pending,SHIP1010,"Ahmedabad, Gujarat",2025-09-15,2025-09-20,Pending,TRACK76543,0.0,,,,120000.0,270000.0,2025,9,Monday
ORD1011,CUST1011,2025-09-16 11:15:00,Delivered,INR,85000.0,17000.0,13932.0,81932.0,WEEKEND20,Manish,Agarwal,manish@example.com,9877788899,"Lucknow, Uttar Pradesh",2025-09-08,OI1015,PROD1004,1,90000.0,90000.0,Samsung Galaxy S23,Mobile,Samsung,90000.0,INR,40,18.0,PAY1011,Debit Card,2025-09-16 12:00:00,81932.0,INR,Paid,SHIP1011,"Lucknow, Uttar Pradesh",2025-09-16,2025-09-19,Delivered,TRACK65432,20.0,2025-09-15,2025-11-15,5000.0,90000.0,110000.0,2025,9,Tuesday
ORD1011,CUST1011,2025-09-16 11:15:00,Delivered,INR,85000.0,17000.0,13932.0,81932.0,WEEKEND20,Manish,Agarwal,manish@example.com,9877788899,"Lucknow, Uttar Pradesh",2025-09-08,OI1016,PROD1003,1,20000.0,20000.0,AirPods Pro,Accessories,Apple,20000.0,INR,100,18.0,PAY1011,Debit Card,2025-09-16 12:00:00,81932.0,INR,Paid,SHIP1011,"Lucknow, Uttar Pradesh",2025-09-16,2025-09-19,Delivered,TRACK65432,20.0,2025-09-15,2025-11-15,5000.0,20000.0,110000.0,2025,9,Tuesday
ORD1012,CUST1012,2025-09-16 18:00:00,Shipped,INR,12000.0,6000.0,360.0,6720.0,STUDENT50,Ritu,Chopra,ritu@example.com,9888899900,"Bangalore, Karnataka",2025-09-09,OI1017,PROD1009,1,12000.0,12000.0,Kindle Paperwhite,E-Reader,Amazon,12000.0,INR,90,12.0,PAY1012,Wallet,2025-09-16 18:10:00,6720.0,INR,Paid,SHIP1012,"Bangalore, Karnataka",2025-09-16,2025-09-18,In Transit,TRACK54322,50.0,2025-09-01,2025-12-31,500.0,12000.0,12000.0,2025,9,Tuesday
ORD1013,CUST1013,2025-09-17 08:30:00,Pending,INR,99900.0,29970.0,13485.6,83415.6,DIWALI30,Deepak,Sinha,deepak@example.com,9899900011,"Kolkata, West Bengal",2025-09-10,OI1018,PROD1002,1,150000.0,150000.0,Laptop XPS 13,Laptop,Dell,150000.0,INR,30,12.0,PAY1013,Credit Card,2025-09-17 09:00:00,83415.6,INR,Pending,SHIP1013,"Kolkata, West Bengal",2025-09-17,2025-09-21,Pending,TRACK43210,30.0,2025-10-10,2025-11-15,20000.0,150000.0,185000.0,2025,9,Wednesday
ORD1013,CUST1013,2025-09-17 08:30:00,Pending,INR,99900.0,29970.0,13485.6,83415.6,DIWALI30,Deepak,Sinha,deepak@example.com,9899900011,"Kolkata, West Bengal",2025-09-10,OI1019,PROD1005,1,35000.0,35000.0,Sony WH-1000XM5,Headphones,Sony,35000.0,INR,60,18.0,PAY1013,Credit Card,2025-09-17 09:00:00,83415.6,INR,Pending,SHIP1013,"Kolkata, West Bengal",2025-09-17,2025-09-21,Pending,TRACK43210,30.0,2025-10-10,2025-11-15,20000.0,35000.0,185000.0,2025,9,Wednesday
